fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
51.44799044,48.55200956,1.059646983,2.133708135,3.045883028,1.889299416,2.995608939,0.070486765,0.520710059,4.857142857,0.015625,0.630689604,0.70306887,0.11094742,0.070486368,9.887302263,1
49.86814791,50.13185209,0.994739788,1.696182162,3.252372816,1.103722006,1.156691387,0.065856454,0.627118644,5.085714286,0.015625,0.954206125,0.670405127,0.077609574,0.065855517,9.848622089,1
51.40674984,48.59325016,1.057898981,1.831565981,3.091007905,1.129496318,1.109809813,0.062470505,0.631284916,4.390243902,0.015625,1.01773863,0.661831559,0.076620463,0.062470405,9.799494722,1
44.879586,55.120414,0.814209886,0.984285561,3.186228495,0.538467296,0.507185732,0.058653775,0.628415301,3.538461539,0.015625,1.061676743,0.649754669,0.053947141,0.058653775,9.787283494,1
50.1807162,49.8192838,1.007254869,1.599026013,3.305031126,0.814832323,0.775938471,0.060360308,0.585635359,4.136363636,0.015625,1.050124918,0.659638978,0.065444317,0.060360103,9.806334687,1
44.57287972,55.42712028,0.804170946,2.23752857,1.743629748,2.217659827,12.8352941,0.086482679,0.544303798,4.96875,0.015625,0.172778264,0.754718215,0.18746762,0.086481196,9.805800579,1
39.64717656,60.35282344,0.65692331,2.559366767,1.497534053,1.828711096,11.2901426,0.087845421,0.535483871,4.105263158,0.015625,0.161974136,0.771973215,0.177970456,0.087824096,9.836078423,1
45.51859369,54.48140631,0.835488597,1.105118254,3.353330876,1.110563839,1.3378115,0.068111564,0.535714286,3.448979592,0.015625,0.830134768,0.712403248,0.076738151,0.068092839,9.865066142,1
49.45484072,50.54515928,0.978428823,1.393268705,3.607093054,1.710975239,1.811753383,0.066488943,0.520467836,5.375,0.015625,0.944375352,0.701912554,0.088999976,0.066480978,9.885542487,1
44.8290849,55.1709151,0.812549236,1.490538831,3.186666577,1.268958642,1.598373549,0.063907163,0.505555556,5.171428571,0.015625,0.793906182,0.662328019,0.082656105,0.063907163,9.935188834,1
42.24891092,57.75108908,0.731569077,1.467407487,2.863016981,1.016581278,2.226978746,0.065013357,0.531428571,5.028571429,0.015625,0.4564845,0.681991662,0.086153417,0.065010846,9.926341549,1
47.51517486,52.48482514,0.905312626,0.8495599,3.370278572,1.215412209,0.937480915,0.062216609,0.539393939,2.964285714,0.015625,1.296466082,0.720772423,0.071291874,0.062213657,9.861068032,1
48.03477739,51.96522261,0.92436393,1.452985637,3.256187073,0.641748977,0.952920698,0.058474267,0.529411765,3.053571429,0.015625,0.673454756,0.702452756,0.062944671,0.058471309,9.814411735,1
47.55917721,52.44082279,0.906911346,1.257504561,3.267222938,0.596902229,0.635847052,0.059359262,0.5625,2.80952381,0.015625,0.938751273,0.683249095,0.058006488,0.059357511,9.807314295,1
53.60625243,46.39374757,1.155462864,1.537541808,3.625979879,0.889161745,0.676615766,0.061029841,0.563953488,2.883333333,0.015625,1.314130987,0.690747153,0.064505984,0.061029841,9.799654638,1
57.64272574,42.35727426,1.360869573,1.417267386,3.568776722,1.454223663,0.912303457,0.062175224,0.556213018,4.25,0.015625,1.594013102,0.703557953,0.075728398,0.062175224,9.79431657,1
59.56147456,40.43852544,1.472889377,1.210365152,4.1448032,1.95227147,1.035461658,0.062041309,0.538011696,4.914285714,0.015625,1.885411648,0.695794512,0.083290562,0.062016499,9.791390983,1
54.54740424,45.45259576,1.200094369,1.415671932,3.460075679,2.168567156,1.70095971,0.061644746,0.488235294,4.275,0.015625,1.274908008,0.711194671,0.093406659,0.06164295,9.800621093,1
50.14100375,49.85899625,1.005656101,1.686858641,3.161823513,1.520342302,2.055069615,0.058990787,0.476744186,4.675675676,0.015625,0.739800876,0.704897078,0.09048914,0.058979326,9.81709493,1
47.70256642,52.29743358,0.91213972,1.264181422,3.376241203,1.064605221,1.041924716,0.057584566,0.497175141,4.684210526,0.015625,1.021767893,0.67950742,0.070879443,0.057582792,9.822715803,1
51.14390515,48.85609485,1.046827531,1.199330218,3.571620547,1.523668941,1.300717223,0.06540095,0.543859649,4.195121951,0.015625,1.171406754,0.703556211,0.08083374,0.065400845,9.875773951,1
54.30679721,45.69320279,1.188509317,1.199662762,3.645300698,1.64392686,1.155461703,0.064961665,0.578034682,3.551020408,0.015625,1.422744567,0.692798648,0.081209757,0.064961665,9.944765118,1
50.32334775,49.67665225,1.013018098,1.872705125,3.260067954,1.036703139,1.428641053,0.061260854,0.607734807,3.956521739,0.015625,0.725656831,0.653864726,0.076519641,0.061260273,9.95375557,1
