fv_e1,fv_e2,fv_e3,fv_e4,fv_e5,fv_e7,fv_e8,fv_e9,fv_e10,fv_e11,fv_e12,fv_e13,fv_e14,fv_e15,fv_e16,fv_e17,class
39.67024288,60.32975712,0.657556814,0.38529471,2.898886949,0.214654705,0.11486593,0.039411812,0.14893617,3.692307692,0.015625,1.868741281,0.77249625,0.031894134,0.039410409,9.83199753,1
36.60883128,63.39116872,0.577506805,1.452114209,3.242780672,0.374855426,0.270752238,0.045189477,0.193181818,5.235294118,0.0625,1.384496131,0.769171405,0.036092636,0.045176916,9.810109957,1
43.02057575,56.97942425,0.755019488,1.674117558,3.328123807,0.230925596,0.240318943,0.040758109,0.14953271,5.142857143,0.0625,0.960912999,0.7672515,0.032814314,0.040753923,9.781018197,1
32.65276968,67.34723032,0.484842057,2.178302567,2.44495594,0.121191181,0.296980089,0.039080978,0.127659575,3.392857143,0.015625,0.408078471,0.762699305,0.029656019,0.039075321,9.777238369,1
40.67525043,59.32474957,0.68563712,0.432125999,2.049611009,0.446084422,0.386320429,0.054202322,0.25,3.681818182,0.015625,1.154700578,0.764187451,0.040757302,0.054200914,9.799353004,1
46.00899412,53.99100588,0.852160344,0.938381705,4.389152832,0.537031533,0.370694472,0.050905956,0.258426966,5.294117647,0.0625,1.448717403,0.771279506,0.040752146,0.050901111,9.826505282,1
42.11863249,57.88136751,0.72767169,1.586853672,2.813804689,0.139293563,0.252063217,0.040253608,0.181818182,4.692307692,0.046875,0.552613604,0.758103328,0.031842038,0.040236825,9.791966736,1
42.01848342,57.98151658,0.724687554,1.173478392,2.161166185,0.076345077,0.119183124,0.039847535,0.176100629,4.102564103,0.015625,0.640569525,0.750913256,0.027998604,0.039845596,9.761217761,1
46.37024944,53.62975056,0.86463668,1.256086132,2.517662854,0.0751779,0.097816533,0.038379769,0.15131579,3.558139535,0.015625,0.768560267,0.751464118,0.026425434,0.038379632,9.764508786,1
29.29201127,70.70798873,0.414267352,1.08365879,1.752319305,0.044093009,0.139940985,0.042039814,0.178807947,4,0.046875,0.315082881,0.753837921,0.027449914,0.042039686,9.76626616,1
25.43367699,74.56632301,0.341087987,1.398633595,1.818282631,0.071802913,0.265073036,0.047920624,0.24137931,4.5,0.046875,0.270879731,0.75577706,0.031626189,0.04791892,9.787441861,1
33.48341147,66.51658853,0.503384377,0.938757867,1.582657595,0.14246722,0.180191095,0.050890656,0.25,5.7,0.0625,0.790645177,0.762918649,0.033814197,0.050890656,9.845334871,1
23.96671343,76.03328657,0.315213435,0.755897489,1.479462332,0.218277913,0.426410686,0.043842588,0.166666667,5.083333333,0.046875,0.511895972,0.753850973,0.035015831,0.043823247,9.872611274,1
24.20508184,75.79491816,0.319349667,1.900568179,2.071892799,0.237820938,0.667176457,0.056132738,0.311827957,5.529411765,0.03125,0.356458828,0.759972795,0.04458807,0.056130475,9.860503428,1
31.35245868,68.64754132,0.456716411,1.070143529,1.315596523,0.308381696,0.662956821,0.060172444,0.384615385,6.076923077,0.09375,0.465161057,0.779396697,0.045834219,0.060151098,9.831577993,1
43.75958488,56.24041512,0.778080759,0.646795426,2.653898811,0.368145202,0.390372957,0.040018785,0.157894737,5.272727273,0.0625,0.943060208,0.787094685,0.036760021,0.040017846,9.853481257,1
39.69339979,60.30660021,0.658193293,0.549354424,2.869443796,0.386853954,0.295206051,0.041904964,0.177777778,3.538461539,0.015625,1.310454013,0.78159456,0.034907386,0.041904964,9.880902002,1
28.91060832,71.08939168,0.406679642,0.156930005,1.538347132,0.090284255,0.192597007,0.046824186,0.268656716,3.238095238,0.015625,0.468772887,0.77391154,0.030451223,0.046821863,9.869379448,1
35.53408854,64.46591146,0.551207417,1.678004489,3.465510062,0.192682227,0.932571765,0.05136436,0.280898876,4.736842105,0.046875,0.206613833,0.764168486,0.044579427,0.051349655,9.869166464,1
33.90124507,66.09875493,0.512887801,1.151289367,1.749996905,0.740682736,2.056262142,0.068322955,0.313432836,6.8,0.015625,0.360208322,0.759975663,0.066221938,0.068283139,9.863528686,1
36.84760654,63.15239346,0.583471259,0.605131621,2.794500656,1.548745953,2.996939849,0.081120307,0.3125,6.125,0.03125,0.516775788,0.77225259,0.086045312,0.080761391,9.864900508,1
36.34468338,63.65531662,0.570960688,0.35365761,3.165569018,1.626669374,1.920340674,0.086596769,0.302325581,4.888888889,0.015625,0.847073333,0.776333947,0.076368784,0.086589906,9.858900356,1
48.71953142,51.28046858,0.950060184,0.991646076,1.942386037,0.294925897,0.481440376,0.054874722,0.285714286,4.875,0.015625,0.6125907,0.789690963,0.048076715,0.054861212,9.843878302,1
39.51612524,60.48387477,0.65333323,1.913761071,2.783994101,0.289497908,0.661084752,0.057137785,0.297029703,5.666666667,0.0625,0.437913456,0.796868589,0.045249177,0.057134434,9.839220536,1
39.60141043,60.39858957,0.655667801,2.129666606,2.470275377,0.173033501,0.438705421,0.052055419,0.25,5.65,0.0625,0.394418425,0.801612956,0.042684892,0.052055232,9.849221075,1
45.40014553,54.59985447,0.831506713,2.46177625,3.072773193,0.399006877,0.893155948,0.046529175,0.237623762,7.846153846,0.140625,0.446738196,0.791490617,0.047479976,0.046528917,9.870650341,1
